"id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at","customer_id","td_date_en","td_date_np","td_time","executive_id","vehicle_id","variant_id","mileage_start","mileage_end","duration","td_location"
"1","109","109","\N","2016-12-19 15:41:22","2016-12-19 15:41:22","\N","2763","2016-12-19","2073-09-04","\N","9","16","20","\N","\N","30","Customer Choice"
"2","105","105","\N","2017-01-15 13:30:58","2017-01-15 13:30:58","\N","3649","2017-01-13","2073-09-29","\N","5","3","4","\N","\N","15","Dealer Place"
"3","105","105","\N","2017-01-15 13:31:55","2017-01-15 13:31:55","\N","3134","2017-01-04","2073-09-20","\N","5","16","20","\N","\N","10","Dealer Place"
"4","101","101","\N","2017-02-02 14:44:20","2017-02-02 14:44:30","\N","4047","2017-02-02","2073-10-20","\N","10","17","16","\N","\N","30","Customer Choice"
"5","111","111","\N","2017-02-05 17:35:14","2017-02-05 17:35:14","\N","4058","2017-02-05","01-02-2017","\N","11","3","19","\N","\N","30","Customer Choice"
